Color,Count
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,8
White,4
Black,4
White,4
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,8
White,4
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,8
White,4
Black,4
White,4
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,8
White,4
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,8
White,4
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,8
White,4
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,8
White,4
Black,28
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,12
White,20
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,12
White,16
Black,12
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,12
White,20
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,12
White,16
Black,12
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,12
White,20
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,12
White,16
Black,12
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,42
Black,12
White,20
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,8
White,4
Black,16
White,4
Black,8
Gray,4
Black,12
White,16
Black,12
Gray,4
Black,8
White,4
Black,12
White,8
Black,8
Gray,42
End of Row - Total Pixels,300
Gray,46
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,46
End of Row - Total Pixels,300
Gray,46
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,46
End of Row - Total Pixels,300
Gray,46
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,46
End of Row - Total Pixels,300
Gray,46
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,12
Black,32
Gray,46
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
Gray,300
End of Row - Total Pixels,300
